ts_event,close_AAPL,close_AMZN,close_MSFT,close_META,close_GOOGL,close_NVDA,close_SPY,close_GM
2021-07-07 14:00:00,143440000000,3701460000000,279240000000,14920000000,2533150000000,820150000000,432670000000,56445000000
2021-07-07 15:00:00,143910000000,3712690000000,279690000000,14950000000,2535790000000,821000000000,433780000000,56710000000
2021-07-07 16:00:00,143950000000,3710340000000,279990000000,14920000000,2533510000000,818150000000,434030000000,56850000000
2021-07-07 17:00:00,144350000000,3699790000000,279850000000,14920000000,2527750000000,818110000000,433880000000,56720000000
2021-07-07 18:00:00,144360000000,3702000000000,280290000000,14930000000,2534200000000,820770000000,434480000000,56730000000
2021-07-07 19:00:00,144590000000,3698290000000,279990000000,14880000000,2529470000000,815000000000,434430000000,56600000000
2021-07-07 20:00:00,144720000000,3697980000000,280140000000,14890000000,2522010000000,814730000000,434640000000,56650000000
2021-07-07 21:00:00,144570000000,3695000000000,280000000000,14900000000,2515310000000,814260000000,434590000000,56610000000
2021-07-08 08:00:00,142190000000,3636950000000,277300000000,14890000000,2498430000000,796200000000,430400000000,55510000000
2021-07-08 09:00:00,142280000000,3639100000000,276530000000,14460000000,2485000000000,795140000000,429510000000,55320000000
2021-07-08 10:00:00,142470000000,3652000000000,277000000000,14300000000,2489950000000,794740000000,428950000000,55200000000
2021-07-08 11:00:00,141750000000,3633950000000,275940000000,14400000000,2490000000000,790010000000,428310000000,55200000000
2021-07-08 12:00:00,141680000000,3635000000000,276420000000,14480000000,2492710000000,792910000000,428600000000,55070000000
2021-07-08 13:00:00,141960000000,3646000000000,277620000000,14560000000,2498510000000,795990000000,429450000000,55220000000
2021-07-08 14:00:00,141590000000,3640110000000,275390000000,14640000000,2488540000000,793500000000,428140000000,55760000000
2021-07-08 15:00:00,142650000000,3669820000000,277380000000,14700000000,2503180000000,804530000000,430920000000,56380000000
2021-07-08 16:00:00,143280000000,3711510000000,277530000000,14720000000,2504420000000,800420000000,431555000000,56560000000
2021-07-08 17:00:00,143810000000,3746770000000,278030000000,14770000000,2506410000000,798810000000,430970000000,56045000000
2021-07-08 18:00:00,143190000000,3745820000000,277550000000,14690000000,2501350000000,795830000000,430270000000,55835000000
2021-07-08 19:00:00,143320000000,3731410000000,277530000000,14720000000,2501080000000,796280000000,430950000000,56065000000
2021-07-08 20:00:00,143270000000,3727000000000,277860000000,14740000000,2505390000000,795980000000,430500000000,56650000000
2021-07-08 21:00:00,143300000000,3726020000000,277730000000,14740000000,2503680000000,796000000000,430490000000,57290000000
2021-07-09 08:00:00,143500000000,3737600000000,276980000000,14990000000,2507400000000,800000000000,432060000000,57300000000
2021-07-09 09:00:00,143050000000,3727030000000,277050000000,14950000000,2501130000000,798830000000,431940000000,57260000000
2021-07-09 10:00:00,142830000000,3725000000000,276710000000,14900000000,2494640000000,799570000000,432150000000,57800000000
2021-07-09 11:00:00,143040000000,3730740000000,276720000000,14850000000,2505410000000,801750000000,432900000000,58130000000
