Window,layers,hidden,dropout,lr,mse,batch_size
15.0,1.0,128.0,0.0,0.01,6.223214281793399e+18,64.0
15.0,1.0,128.0,0.1,0.05,7.990762733001581e+18,64.0
15.0,1.0,128.0,0.1,0.01,6.333581700854201e+18,64.0
15.0,2.0,8.0,0.0,0.05,8.750161992444995e+18,64.0
15.0,2.0,8.0,0.0,0.01,7.667116039877064e+18,64.0
15.0,2.0,8.0,0.1,0.05,6.1839941812156e+18,64.0
15.0,2.0,8.0,0.1,0.01,1.403560148517515e+19,64.0
15.0,2.0,16.0,0.0,0.05,1.3486546930053896e+19,64.0
15.0,2.0,16.0,0.0,0.01,5.918832405567549e+18,64.0
15.0,2.0,16.0,0.1,0.05,8.899092800012274e+18,64.0
15.0,2.0,16.0,0.1,0.01,1.4835885588356604e+19,64.0
15.0,2.0,32.0,0.0,0.05,7.11617424255969e+18,64.0
15.0,2.0,32.0,0.0,0.01,9.452465638386012e+18,64.0
15.0,2.0,32.0,0.1,0.05,8.137470885209559e+18,64.0
15.0,2.0,32.0,0.1,0.01,9.678710616264497e+18,64.0
15.0,2.0,64.0,0.0,0.05,1.0182814218209678e+20,64.0
15.0,2.0,64.0,0.0,0.01,1.0160195479467299e+19,64.0
15.0,2.0,64.0,0.1,0.05,2.2720677675424068e+19,64.0
15.0,2.0,64.0,0.1,0.01,1.1659212049901085e+19,64.0
15.0,2.0,128.0,0.0,0.05,7.263053217334604e+19,64.0
15.0,2.0,128.0,0.0,0.01,7.001365883097289e+18,64.0
15.0,2.0,128.0,0.1,0.05,2.6177269657659752e+19,64.0
15.0,2.0,128.0,0.1,0.01,7.495081981999973e+18,64.0
15.0,3.0,8.0,0.0,0.05,9.54533641663946e+18,64.0
15.0,3.0,8.0,0.0,0.01,7.291432788177964e+18,64.0
15.0,3.0,8.0,0.1,0.05,7.238018808976756e+18,64.0
15.0,3.0,8.0,0.1,0.01,1.89774007581507e+19,64.0
15.0,3.0,16.0,0.0,0.05,8.761710646161822e+18,64.0
15.0,3.0,16.0,0.0,0.01,9.922285288452596e+18,64.0
15.0,3.0,16.0,0.1,0.05,1.1593588938626376e+19,64.0
15.0,3.0,16.0,0.1,0.01,1.3104603397599484e+19,64.0
15.0,3.0,32.0,0.0,0.05,6.8351105384747e+18,64.0
15.0,3.0,32.0,0.0,0.01,9.48942108410635e+18,64.0
15.0,3.0,32.0,0.1,0.05,5.609926515550604e+19,64.0
15.0,3.0,32.0,0.1,0.01,1.0895106006768433e+19,64.0
15.0,3.0,64.0,0.0,0.05,5.4157377403051385e+19,64.0
15.0,3.0,64.0,0.0,0.01,5.627769138889229e+18,64.0
15.0,3.0,64.0,0.1,0.05,5.755452593517617e+19,64.0
15.0,3.0,64.0,0.1,0.01,1.508008794445935e+19,64.0
15.0,3.0,128.0,0.0,0.05,2.126839619977366e+19,64.0
15.0,3.0,128.0,0.0,0.01,8.558247154410542e+18,64.0
15.0,3.0,128.0,0.1,0.05,1.637644857866263e+20,64.0
15.0,3.0,128.0,0.1,0.01,1.124967414889111e+19,64.0
