Window,layers,hidden,dropout,lr,mse,batch_size
15.0,4.0,8.0,0.0,0.001,1.1122385232192762e+19,16.0
15.0,4.0,8.0,0.0,0.01,5.39662797414703e+18,16.0
15.0,4.0,8.0,0.1,0.001,1.3287215568076247e+19,16.0
15.0,4.0,8.0,0.1,0.01,1.041630445486128e+19,16.0
15.0,4.0,8.0,0.3,0.001,1.5723640761863533e+19,16.0
15.0,4.0,8.0,0.3,0.01,2.344261679525226e+19,16.0
15.0,4.0,16.0,0.0,0.001,1.033061825164644e+19,16.0
15.0,4.0,16.0,0.0,0.01,5.9476829627064e+18,16.0
15.0,4.0,16.0,0.1,0.001,1.5559159440905236e+19,16.0
15.0,4.0,16.0,0.1,0.01,9.109108553210672e+18,16.0
15.0,4.0,16.0,0.3,0.001,2.223873291841509e+19,16.0
15.0,4.0,16.0,0.3,0.01,2.1180509900169617e+19,16.0
15.0,4.0,32.0,0.0,0.001,6.954010961814619e+18,16.0
15.0,4.0,32.0,0.0,0.01,5.521453587166878e+18,16.0
15.0,4.0,32.0,0.1,0.001,1.361258374891728e+19,16.0
15.0,4.0,32.0,0.1,0.01,1.0490313794291048e+19,16.0
15.0,4.0,32.0,0.3,0.001,2.328663897589205e+19,16.0
15.0,4.0,32.0,0.3,0.01,1.7599705266333694e+19,16.0
15.0,4.0,64.0,0.0,0.001,6.342201311919968e+18,16.0
15.0,4.0,64.0,0.0,0.01,5.865976898473908e+18,16.0
15.0,4.0,64.0,0.1,0.001,1.1505385649761522e+19,16.0
15.0,4.0,64.0,0.1,0.01,1.933988636319392e+19,16.0
15.0,4.0,64.0,0.3,0.001,2.017946695665921e+19,16.0
15.0,4.0,64.0,0.3,0.01,1.6548419029214036e+19,16.0
15.0,1.0,8.0,0.0,0.001,7.789392598050494e+18,64.0
15.0,1.0,8.0,0.0,0.01,7.886954549001455e+18,64.0
15.0,1.0,8.0,0.1,0.001,1.562303255879616e+19,64.0
15.0,1.0,8.0,0.1,0.01,7.192695225303128e+18,64.0
15.0,1.0,8.0,0.3,0.001,1.1185773658725198e+19,64.0
15.0,1.0,8.0,0.3,0.01,8.388804386028854e+18,64.0
15.0,1.0,16.0,0.0,0.001,1.1102463031611271e+19,64.0
15.0,1.0,16.0,0.0,0.01,6.331868368735962e+18,64.0
15.0,1.0,16.0,0.1,0.001,9.874340092165675e+18,64.0
15.0,1.0,16.0,0.1,0.01,7.73269919704913e+18,64.0
15.0,1.0,16.0,0.3,0.001,8.519528068805633e+18,64.0
15.0,1.0,16.0,0.3,0.01,5.914178229592349e+18,64.0
15.0,1.0,32.0,0.0,0.001,8.926967765156163e+18,64.0
15.0,1.0,32.0,0.0,0.01,9.517617302395202e+18,64.0
15.0,1.0,32.0,0.1,0.001,7.971865300275285e+18,64.0
15.0,1.0,32.0,0.1,0.01,6.842334085646634e+18,64.0
15.0,1.0,32.0,0.3,0.001,9.935216028817308e+18,64.0
15.0,1.0,32.0,0.3,0.01,6.263068304519595e+18,64.0
15.0,1.0,64.0,0.0,0.001,1.0296285970744957e+19,64.0
15.0,1.0,64.0,0.0,0.01,8.336552039474776e+18,64.0
15.0,1.0,64.0,0.1,0.001,1.0927674254872963e+19,64.0
15.0,1.0,64.0,0.1,0.01,6.10124315198595e+18,64.0
15.0,1.0,64.0,0.3,0.001,1.0785589524324575e+19,64.0
15.0,1.0,64.0,0.3,0.01,5.827110628480356e+18,64.0
15.0,2.0,8.0,0.0,0.001,1.4684434114543194e+19,64.0
15.0,2.0,8.0,0.0,0.01,5.798163792652563e+18,64.0
15.0,2.0,8.0,0.1,0.001,1.5056372026985837e+19,64.0
15.0,2.0,8.0,0.1,0.01,7.426847549595074e+18,64.0
15.0,2.0,8.0,0.3,0.001,1.841281280677632e+19,64.0
15.0,2.0,8.0,0.3,0.01,1.5525897523080477e+19,64.0
15.0,2.0,16.0,0.0,0.001,1.743878390723264e+19,64.0
15.0,2.0,16.0,0.0,0.01,5.464185264307628e+18,64.0
15.0,2.0,16.0,0.1,0.001,2.140759633769199e+19,64.0
15.0,2.0,16.0,0.1,0.01,9.75104029537569e+18,64.0
15.0,2.0,16.0,0.3,0.001,1.7660311419130436e+19,64.0
15.0,2.0,16.0,0.3,0.01,1.89007009081082e+19,64.0
15.0,2.0,32.0,0.0,0.001,1.2417236222919354e+19,64.0
15.0,2.0,32.0,0.0,0.01,5.802670959164786e+18,64.0
15.0,2.0,32.0,0.1,0.001,1.8828345176349983e+19,64.0
15.0,2.0,32.0,0.1,0.01,1.2157177970429452e+19,64.0
15.0,2.0,32.0,0.3,0.001,2.02490055449058e+19,64.0
15.0,2.0,32.0,0.3,0.01,1.475629361324003e+19,64.0
15.0,2.0,64.0,0.0,0.001,1.4025781672918778e+19,64.0
15.0,2.0,64.0,0.0,0.01,5.374075125512464e+18,64.0
15.0,2.0,64.0,0.1,0.001,1.5835223791902552e+19,64.0
15.0,2.0,64.0,0.1,0.01,7.807711329912402e+18,64.0
15.0,2.0,64.0,0.3,0.001,1.771909868594591e+19,64.0
15.0,2.0,64.0,0.3,0.01,8.279052474362031e+18,64.0
15.0,3.0,8.0,0.0,0.001,2.8898486369673527e+19,64.0
15.0,3.0,8.0,0.0,0.01,5.904296685838024e+18,64.0
15.0,3.0,8.0,0.1,0.001,3.001207653483488e+19,64.0
15.0,3.0,8.0,0.1,0.01,1.4240141218281523e+19,64.0
15.0,3.0,8.0,0.3,0.001,1.912396332443831e+19,64.0
15.0,3.0,8.0,0.3,0.01,2.414315876892988e+19,64.0
15.0,3.0,16.0,0.0,0.001,1.654289830487755e+19,64.0
15.0,3.0,16.0,0.0,0.01,5.977717826445451e+18,64.0
15.0,3.0,16.0,0.1,0.001,2.944575928960367e+19,64.0
15.0,3.0,16.0,0.1,0.01,1.00584054938899e+19,64.0
15.0,3.0,16.0,0.3,0.001,2.858140551071308e+19,64.0
15.0,3.0,16.0,0.3,0.01,1.1687305440936317e+19,64.0
15.0,3.0,32.0,0.0,0.001,1.315316372964349e+19,64.0
