Window,layers,hidden,dropout,lr,mse,batch_size
10.0,1.0,16.0,0.1,0.05,5.388628081480405e+18,64.0
10.0,1.0,16.0,0.1,0.01,6.905315463312311e+18,64.0
10.0,1.0,32.0,0.0,0.05,6.673609758088292e+18,64.0
10.0,1.0,32.0,0.0,0.01,7.546447161762994e+18,64.0
10.0,1.0,32.0,0.1,0.05,5.364181274010657e+18,64.0
10.0,1.0,32.0,0.1,0.01,5.574436202805301e+18,64.0
10.0,1.0,64.0,0.0,0.05,5.779313655698381e+18,64.0
10.0,1.0,64.0,0.0,0.01,6.160640991969776e+18,64.0
10.0,1.0,64.0,0.1,0.05,6.594255742743566e+18,64.0
10.0,1.0,64.0,0.1,0.01,5.391859799032173e+18,64.0
10.0,1.0,128.0,0.0,0.05,7.538500423257119e+18,64.0
10.0,1.0,128.0,0.0,0.01,6.373809667405965e+18,64.0
10.0,1.0,128.0,0.1,0.05,5.804659504363064e+18,64.0
10.0,1.0,128.0,0.1,0.01,5.879203213318365e+18,64.0
10.0,2.0,8.0,0.0,0.05,7.66626599655972e+18,64.0
10.0,2.0,8.0,0.0,0.01,7.661690055341216e+18,64.0
10.0,2.0,8.0,0.1,0.05,1.1776388833854226e+19,64.0
10.0,2.0,8.0,0.1,0.01,1.1725998119046742e+19,64.0
10.0,2.0,16.0,0.0,0.05,5.426200848117314e+18,64.0
10.0,2.0,16.0,0.0,0.01,5.556336837628193e+18,64.0
10.0,2.0,16.0,0.1,0.05,6.675732897582446e+18,64.0
10.0,2.0,16.0,0.1,0.01,9.96467708831994e+18,64.0
10.0,2.0,32.0,0.0,0.05,6.751616129220317e+18,64.0
10.0,2.0,32.0,0.0,0.01,5.778043943993403e+18,64.0
10.0,2.0,32.0,0.1,0.05,6.894526271077469e+18,64.0
10.0,2.0,32.0,0.1,0.01,1.051685960010798e+19,64.0
10.0,2.0,64.0,0.0,0.05,6.264307008110317e+18,64.0
10.0,2.0,64.0,0.0,0.01,8.451505124539208e+18,64.0
10.0,2.0,64.0,0.1,0.05,8.79565178254791e+18,64.0
10.0,2.0,64.0,0.1,0.01,6.764992245167745e+18,64.0
10.0,2.0,128.0,0.0,0.05,1.345961402198639e+19,64.0
10.0,2.0,128.0,0.0,0.01,6.88093092276981e+18,64.0
10.0,2.0,128.0,0.1,0.05,5.227998024320985e+19,64.0
10.0,2.0,128.0,0.1,0.01,6.529139613407308e+18,64.0
10.0,3.0,8.0,0.0,0.05,5.56873956273054e+18,64.0
10.0,3.0,8.0,0.0,0.01,6.492319929975688e+18,64.0
10.0,3.0,8.0,0.1,0.05,1.383496311211506e+19,64.0
10.0,3.0,8.0,0.1,0.01,1.19559944801877e+19,64.0
10.0,3.0,16.0,0.0,0.05,7.949473331759911e+18,64.0
10.0,3.0,16.0,0.0,0.01,6.614954191033774e+18,64.0
10.0,3.0,16.0,0.1,0.05,6.876043861663956e+18,64.0
10.0,3.0,16.0,0.1,0.01,1.646466115001069e+19,64.0
10.0,3.0,32.0,0.0,0.05,6.247633552591947e+18,64.0
10.0,3.0,32.0,0.0,0.01,8.420037712162077e+18,64.0
10.0,3.0,32.0,0.1,0.05,1.5540968677234457e+19,64.0
10.0,3.0,32.0,0.1,0.01,7.662990427073443e+18,64.0
10.0,3.0,64.0,0.0,0.05,3.390605311879351e+19,64.0
10.0,3.0,64.0,0.0,0.01,5.764242055073498e+18,64.0
10.0,3.0,64.0,0.1,0.05,1.977006514887524e+20,64.0
10.0,3.0,64.0,0.1,0.01,7.437151815632145e+18,64.0
10.0,3.0,128.0,0.0,0.05,4.0589063097506765e+20,64.0
10.0,3.0,128.0,0.0,0.01,5.539311617065427e+18,64.0
10.0,3.0,128.0,0.1,0.05,2.3098461271547177e+20,64.0
10.0,3.0,128.0,0.1,0.01,8.686184089834359e+18,64.0
20.0,1.0,8.0,0.0,0.05,1.1723989432624085e+19,16.0
20.0,1.0,8.0,0.0,0.01,5.332262930686459e+18,16.0
20.0,1.0,8.0,0.1,0.05,5.952083269740195e+18,16.0
20.0,1.0,8.0,0.1,0.01,5.487318047782164e+18,16.0
20.0,1.0,16.0,0.0,0.05,6.192973593205392e+18,16.0
20.0,1.0,16.0,0.0,0.01,5.40737792353439e+18,16.0
20.0,1.0,16.0,0.1,0.05,6.373807512177333e+18,16.0
20.0,1.0,16.0,0.1,0.01,5.409817483352008e+18,16.0
20.0,1.0,32.0,0.0,0.05,5.386642391994144e+18,16.0
20.0,1.0,32.0,0.0,0.01,6.122483967775784e+18,16.0
20.0,1.0,32.0,0.1,0.05,6.120300072593945e+18,16.0
20.0,1.0,32.0,0.1,0.01,5.365206332098568e+18,16.0
20.0,1.0,64.0,0.0,0.05,5.396681061844523e+18,16.0
20.0,1.0,64.0,0.0,0.01,5.25872375248053e+18,16.0
20.0,1.0,64.0,0.1,0.05,5.426036969100071e+18,16.0
20.0,1.0,64.0,0.1,0.01,5.18340647287689e+18,16.0
20.0,1.0,128.0,0.0,0.05,6.415757747674821e+18,16.0
20.0,1.0,128.0,0.0,0.01,5.321855999653327e+18,16.0
20.0,1.0,128.0,0.1,0.05,1.1788199903694787e+19,16.0
20.0,1.0,128.0,0.1,0.01,6.948694369842739e+18,16.0
20.0,2.0,8.0,0.0,0.05,6.429997499528236e+18,16.0
20.0,2.0,8.0,0.0,0.01,5.588754663094841e+18,16.0
20.0,2.0,8.0,0.1,0.05,1.2463078776785762e+19,16.0
20.0,2.0,8.0,0.1,0.01,8.889431785345876e+18,16.0
20.0,2.0,16.0,0.0,0.05,5.859454970572276e+18,16.0
20.0,2.0,16.0,0.0,0.01,5.412390336783402e+18,16.0
20.0,2.0,16.0,0.1,0.05,1.0542383648636254e+19,16.0
20.0,2.0,16.0,0.1,0.01,8.490138644226982e+18,16.0
20.0,2.0,32.0,0.0,0.05,5.710026382305457e+18,16.0
20.0,2.0,32.0,0.0,0.01,5.264307103286992e+18,16.0
20.0,2.0,32.0,0.1,0.05,9.293755140325499e+18,16.0
20.0,2.0,32.0,0.1,0.01,5.884773424792076e+18,16.0
20.0,2.0,64.0,0.0,0.05,1.0292811278765045e+21,16.0
20.0,2.0,64.0,0.0,0.01,5.629710679487919e+18,16.0
20.0,2.0,64.0,0.1,0.05,7.068817881539655e+18,16.0
20.0,2.0,64.0,0.1,0.01,7.247102803302409e+18,16.0
20.0,2.0,128.0,0.0,0.05,1.3787196891346966e+21,16.0
20.0,2.0,128.0,0.0,0.01,5.389478656890913e+18,16.0
20.0,2.0,128.0,0.1,0.05,1.109559165364495e+19,16.0
20.0,2.0,128.0,0.1,0.01,6.558310532574482e+18,16.0
20.0,3.0,8.0,0.0,0.05,1.1933599286436768e+19,16.0
20.0,3.0,8.0,0.0,0.01,5.878577114951249e+18,16.0
20.0,3.0,8.0,0.1,0.05,1.1630747250176907e+19,16.0
20.0,3.0,8.0,0.1,0.01,1.3451339853318994e+19,16.0
20.0,3.0,16.0,0.0,0.05,5.959923520144504e+18,16.0
20.0,3.0,16.0,0.0,0.01,5.185296188225938e+18,16.0
20.0,3.0,16.0,0.1,0.05,7.584097470472791e+18,16.0
20.0,3.0,16.0,0.1,0.01,1.7283116106661845e+19,16.0
20.0,3.0,32.0,0.0,0.05,2.9149870404202614e+20,16.0
20.0,3.0,32.0,0.0,0.01,5.437937047084937e+18,16.0
20.0,3.0,32.0,0.1,0.05,9.379031726304186e+18,16.0
20.0,3.0,32.0,0.1,0.01,8.048045317913615e+18,16.0
20.0,3.0,64.0,0.0,0.05,7.832009130707464e+18,16.0
20.0,3.0,64.0,0.0,0.01,5.544043288939519e+18,16.0
20.0,3.0,64.0,0.1,0.05,9.628935193550296e+20,16.0
20.0,3.0,64.0,0.1,0.01,7.765653606304243e+18,16.0
20.0,3.0,128.0,0.0,0.05,3.814021529265054e+20,16.0
20.0,3.0,128.0,0.0,0.01,5.319198049737188e+18,16.0
20.0,3.0,128.0,0.1,0.05,1.2113713406774034e+20,16.0
20.0,3.0,128.0,0.1,0.01,6.735552614920431e+18,16.0
20.0,1.0,8.0,0.0,0.05,5.562382944158393e+18,64.0
20.0,1.0,8.0,0.0,0.01,6.404682233641883e+18,64.0
20.0,1.0,8.0,0.1,0.05,5.36688514828928e+18,64.0
20.0,1.0,8.0,0.1,0.01,5.909238175574601e+18,64.0
20.0,1.0,16.0,0.0,0.05,5.251045282080182e+18,64.0
20.0,1.0,16.0,0.0,0.01,6.401711113391627e+18,64.0
20.0,1.0,16.0,0.1,0.05,5.640865439120378e+18,64.0
20.0,1.0,16.0,0.1,0.01,6.656441023229509e+18,64.0
20.0,1.0,32.0,0.0,0.05,5.720282740049847e+18,64.0
20.0,1.0,32.0,0.0,0.01,5.869019978680709e+18,64.0
20.0,1.0,32.0,0.1,0.05,5.590465818276917e+18,64.0
20.0,1.0,32.0,0.1,0.01,6.58347135724396e+18,64.0
20.0,1.0,64.0,0.0,0.05,6.039730023364649e+18,64.0
20.0,1.0,64.0,0.0,0.01,6.394425648198202e+18,64.0
20.0,1.0,64.0,0.1,0.05,6.022581692897314e+18,64.0
20.0,1.0,64.0,0.1,0.01,6.216453722456226e+18,64.0
20.0,1.0,128.0,0.0,0.05,2.728517027589544e+19,64.0
20.0,1.0,128.0,0.0,0.01,5.808404962435128e+18,64.0
20.0,1.0,128.0,0.1,0.05,7.386523173965443e+18,64.0
20.0,1.0,128.0,0.1,0.01,7.202016732795787e+18,64.0
20.0,2.0,8.0,0.0,0.05,7.028838390634352e+18,64.0
20.0,2.0,8.0,0.0,0.01,5.736097399322534e+18,64.0
20.0,2.0,8.0,0.1,0.05,9.685706337483848e+18,64.0
20.0,2.0,8.0,0.1,0.01,9.145009439946363e+18,64.0
20.0,2.0,16.0,0.0,0.05,6.873947519213724e+18,64.0
20.0,2.0,16.0,0.0,0.01,5.793246973168032e+18,64.0
20.0,2.0,16.0,0.1,0.05,8.911899075165961e+18,64.0
20.0,2.0,16.0,0.1,0.01,1.1800499842736364e+19,64.0
20.0,2.0,32.0,0.0,0.05,5.560638478351759e+18,64.0
20.0,2.0,32.0,0.0,0.01,7.487045204333701e+18,64.0
20.0,2.0,32.0,0.1,0.05,1.1345579201652374e+19,64.0
20.0,2.0,32.0,0.1,0.01,1.0968847342452105e+19,64.0
20.0,2.0,64.0,0.0,0.05,5.389564265245289e+18,64.0
20.0,2.0,64.0,0.0,0.01,5.877454942384017e+18,64.0
20.0,2.0,64.0,0.1,0.05,6.108201946559511e+20,64.0
20.0,2.0,64.0,0.1,0.01,8.606646939523025e+18,64.0
20.0,2.0,128.0,0.0,0.05,2.131151189821971e+20,64.0
20.0,2.0,128.0,0.0,0.01,6.27900098790304e+18,64.0
20.0,2.0,128.0,0.1,0.05,1.0139749018307692e+20,64.0
20.0,2.0,128.0,0.1,0.01,8.247904960976994e+18,64.0
20.0,3.0,8.0,0.0,0.05,1.0085502312310315e+19,64.0
20.0,3.0,8.0,0.0,0.01,7.657893062083876e+18,64.0
20.0,3.0,8.0,0.1,0.05,1.8392942556965759e+19,64.0
20.0,3.0,8.0,0.1,0.01,9.142439819292141e+18,64.0
20.0,3.0,16.0,0.0,0.05,5.502680548729695e+18,64.0
20.0,3.0,16.0,0.0,0.01,5.918114257449554e+18,64.0
20.0,3.0,16.0,0.1,0.05,8.996567550414539e+18,64.0
20.0,3.0,16.0,0.1,0.01,1.995010105970973e+19,64.0
20.0,3.0,32.0,0.0,0.05,1.7002554459427547e+20,64.0
20.0,3.0,32.0,0.0,0.01,5.672923099677619e+18,64.0
20.0,3.0,32.0,0.1,0.05,1.0986390747978844e+20,64.0
20.0,3.0,32.0,0.1,0.01,1.0824886352894974e+19,64.0
20.0,3.0,64.0,0.0,0.05,2.2078504738203353e+20,64.0
20.0,3.0,64.0,0.0,0.01,7.377780948580362e+18,64.0
20.0,3.0,64.0,0.1,0.05,1.348218182657432e+19,64.0
20.0,3.0,64.0,0.1,0.01,7.522855466606004e+18,64.0
20.0,3.0,128.0,0.0,0.05,4.5974132097165754e+20,64.0
20.0,3.0,128.0,0.0,0.01,5.49695037269725e+18,64.0
20.0,3.0,128.0,0.1,0.05,1.5071365699796648e+20,64.0
20.0,3.0,128.0,0.1,0.01,9.069652897890093e+18,64.0
